ID,Created,Title,Reason for desk reservation,DeskText,Reserved By,Check Out From,Check Out To,Check Out From Text,Check Out To Text,Check Out From Number,Check Out To Number,Service,Description,RoomReservation,Manager,Asset,RecurrenceFrequency,RecurrenceEndDate,MeetingCategory,RecurrenceID,RecurrenceDayName,RecurrenceTimes,OptionalAttendees,DeskFloor,IsRecurring,OutlookEventID,Created By,OutlookSeriesID,RecurrencePattern,ParentReservationID,Floor
8,10/5/2025 14:16,"lastName, firstName A. - Bldg. 9, RM124, Desk 1  @ 11/06/2025 13:00",,"Bldg. 9, RM124, Desk 1 ","lastName, firstName A.",11/6/25 13:00,11/6/25 17:00,11/06/2025 13:00,11/06/2025 17:00,45967.54,45967.71,PRRT,,TRUE,"lastName, firstName A.",Desk,,11/6/2025,Super User Training,1,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
9,10/5/2025 14:17,"lastName, firstName A. - Bldg. 9, RM124, Desk 1  @ 11/14/2025 08:00",,"Bldg. 9, RM124, Desk 1 ","lastName, firstName A.",11/14/25 8:00,11/14/25 12:00,11/14/2025 08:00,11/14/2025 12:00,45975.33,45975.50,prrt,,TRUE,"lastName, firstName A.",Desk,,11/14/2025,End User Training,2,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
10,10/6/2025 10:47,"lastName, firstName A. - Bldg. 39, RM25, Desk 1  @ 11/06/2025 08:00",Hoping for a work station with 2 monitors,"Bldg. 39, RM25, Desk 1 ","lastName, firstName A.",11/6/25 8:00,11/6/25 10:00,11/06/2025 08:00,11/06/2025 10:00,45967.33,45967.42,Ancillary,Hoping for a work station with 2 monitors,TRUE,"lastName, firstName A.",Desk,,11/6/2025,Super User Training,3,,,,"Bldg. 39, RM25",TRUE,,"lastName, firstName A.",,,,
11,10/7/2025 3:27,"lastName, firstName A. - Bldg. 9, RM124, Desk 1  @ 11/04/2025 18:00",,"Bldg. 9, RM124, Desk 1 ","lastName, firstName A.",11/4/25 18:00,11/4/25 22:00,11/04/2025 18:00,11/04/2025 22:00,45965.75,45965.92,84-1 clc,,TRUE,"lastName, firstName A.",Desk,,11/4/2025,Super User Training,4,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
12,10/7/2025 3:28,"lastName, firstName A. - Bldg. 9, RM124, Desk 10 @ 11/14/2025 10:00",,"Bldg. 9, RM124, Desk 10","lastName, firstName A.",11/14/25 10:00,11/14/25 12:00,11/14/2025 10:00,11/14/2025 12:00,45975.42,45975.50,84-1 clc,,TRUE,"lastName, firstName A.",Desk,,11/14/2025,Super User Training,5,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
13,10/7/2025 16:41,"lastName, firstName A. - Bldg. 39, RM25, Desk 2 @ 11/06/2025 08:00",vILT 400,"Bldg. 39, RM25, Desk 2","lastName, firstName A.",11/6/25 8:00,11/6/25 10:00,11/06/2025 08:00,11/06/2025 10:00,45967.33,45967.42,Radiology,vILT 400,TRUE,"lastName, firstName A.",Desk,,11/6/2025,Super User Training,6,,,,"Bldg. 39, RM25",TRUE,,"lastName, firstName A.",,,,
14,10/9/2025 0:37,"lastName, firstName A. - Bldg. 9, RM124, Desk 12 @ 11/14/2025 10:00",,"Bldg. 9, RM124, Desk 12","lastName, firstName A.",11/14/25 10:00,11/14/25 12:00,11/14/2025 10:00,11/14/2025 12:00,45975.42,45975.50,83-1,,TRUE,"lastName, firstName A.",Desk,,11/14/2025,Super User Training,7,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
18,10/9/2025 0:40,"lastName, firstName A. - Bldg. 9, RM124, Desk 12 @ 11/12/2025 13:00",,"Bldg. 9, RM124, Desk 12","lastName, firstName A.",11/12/25 13:00,11/12/25 17:00,11/12/2025 13:00,11/12/2025 17:00,45973.54,45973.71,83-1,,TRUE,"lastName, firstName A.",Desk,,11/12/2025,Super User Training,8,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
19,10/9/2025 2:52,"lastName, firstName A. - Bldg. 9, RM124, Desk 1  @ 11/03/2025 18:00",,"Bldg. 9, RM124, Desk 1 ","lastName, firstName A.",11/3/25 18:00,11/3/25 23:00,11/03/2025 18:00,11/03/2025 23:00,45964.75,45964.96,83-1,,TRUE,"lastName, firstName A.",Desk,,11/3/2025,Super User Training,9,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
20,10/9/2025 2:52,"lastName, firstName A. - Bldg. 9, RM124, Desk 1  @ 11/04/2025 00:00",,"Bldg. 9, RM124, Desk 1 ","lastName, firstName A.",11/4/25 0:00,11/4/25 3:00,11/04/2025 00:00,11/04/2025 03:00,45965.00,45965.13,83-1,,TRUE,"lastName, firstName A.",Desk,,11/4/2025,Super User Training,10,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
